material1,material2,material3,material4
dataset484,dataset999,dataset498,dataset424
dataset780,dataset591,dataset246,dataset166
dataset686,dataset39,dataset385,dataset176
dataset279,dataset321,dataset134,dataset901
dataset407,dataset368,dataset601,dataset203
dataset630,dataset853,dataset575,dataset355
dataset741,dataset344,dataset696,dataset600
dataset74,dataset271,dataset560,dataset89
dataset361,dataset357,dataset144,dataset690
dataset872,dataset240,dataset512,dataset748
dataset183,dataset362,dataset697,dataset118
dataset487,dataset433,dataset239,dataset625
dataset922,dataset249,dataset363,dataset760
dataset337,dataset125,dataset394,dataset758
dataset88,dataset995,dataset393,dataset807
dataset254,dataset414,dataset545,dataset558
dataset746,dataset589,dataset847,dataset264
dataset747,dataset648,dataset155,dataset49
dataset550,dataset313,dataset382,dataset365
dataset251,dataset523,dataset123,dataset997
dataset273,dataset212,dataset122,dataset226
dataset649,dataset628,dataset846,dataset128
dataset301,dataset257,dataset769,dataset350
dataset248,dataset165,dataset763,dataset652
dataset181,dataset656,dataset406,dataset184
dataset421,dataset126,dataset284,dataset554
dataset37,dataset66,dataset359,dataset509
dataset275,dataset525,dataset976,dataset456
dataset979,dataset536,dataset107,dataset474
dataset974,dataset594,dataset285,dataset977
dataset495,dataset985,dataset787,dataset396
dataset115,dataset23,dataset664,dataset878
dataset715,dataset622,dataset3,dataset583
dataset717,dataset290,dataset827,dataset303
dataset489,dataset311,dataset415,dataset587
dataset314,dataset815,dataset479,dataset682
dataset848,dataset388,dataset34,dataset86
dataset934,dataset693,dataset444,dataset200
dataset143,dataset899,dataset228,dataset455
dataset36,dataset563,dataset471,dataset136
dataset386,dataset451,dataset43,dataset564
dataset288,dataset828,dataset472,dataset215
dataset370,dataset886,dataset33,dataset808
dataset170,dataset860,dataset742,dataset339
dataset733,dataset874,dataset137,dataset712
dataset102,dataset260,dataset898,dataset325
dataset793,dataset381,dataset85,dataset221
dataset735,dataset437,dataset418,dataset178
dataset599,dataset139,dataset149,dataset719
dataset870,dataset528,dataset568,dataset324
dataset322,dataset839,dataset434,dataset408
dataset397,dataset896,dataset731,dataset21
dataset145,dataset639,dataset53,dataset95
dataset130,dataset389,dataset141,dataset278
dataset345,dataset377,dataset198,dataset765
dataset94,dataset617,dataset445,dataset402
dataset192,dataset219,dataset677,dataset401
dataset105,dataset546,dataset333,dataset572
dataset243,dataset160,dataset438,dataset726
dataset816,dataset647,dataset799,dataset380
dataset488,dataset585,dataset862,dataset332
dataset153,dataset267,dataset593,dataset55
dataset262,dataset399,dataset691,dataset173
dataset514,dataset574,dataset244,dataset658
dataset308,dataset168,dataset493,dataset721
dataset926,dataset468,dataset945,dataset968
