material,n_pulled,n_usable,unit_type,canonical_unit,n_in_unit_type,n_ecc
Masonry,45,43,weight,kg,35,35
MasonryCement,28,28,weight,kg,28,28
MassTimber,76,73,vol,m3,69,66
MechanicalInsulation,53,26,area,m2,22,22
MembraneRoofing,224,212,area,m2,169,168
MetalDoorAndFrames,196,42,area,m2,42,42
MetalRailings,18,18,weight,kg,14,14
MetalStairs,7,6,weight,kg,6,6
Mirrors,27,27,area,m2,19,19
MiscMetalFabrication,70,69,weight,kg,69,69
Mortar,308,306,weight,kg,251,250
NetworkingCableTrays,48,25,length,in,22,22
NetworkingRaceways,61,37,length,in,32,32
NonStructuralWood,89,83,vol,m3,63,58
OilPatch,292,290,vol,m3,282,282
OpenWebMembranes,18,18,weight,kg,18,18
Openings,24,22,length,in,12,12
OtherFlooring,293,235,area,m2,218,217
PaintingAndCoating,40,25,area,m2,19,19
PlateSteel,93,86,weight,kg,75,74
PostTensioningSteel,54,51,vol,m3,35,35
PowerCabling,406,400,length,in,400,400
PrecastConcrete,794,767,weight,kg,548,546
ProcessedNonInsulatingGlassPanes,209,186,area,m2,130,130
ReadyMix,87585,87220,vol,m3,87000,86995
RebarSteel,226,211,weight,kg,208,208
ResilientFlooring,657,512,area,m2,486,476
RoofCoverBoards,26,26,area,m2,26,25
RoofPanels,79,72,area,m2,62,61
SheathingPanels,92,87,vol,m3,78,71
Shotcrete,1688,1685,vol,m3,1670,1670
Siding,16,1,area,m2,1,1
SinglePlyEPDM,39,36,area,m2,30,30
SinglePlyKEE,11,11,area,m2,11,11
SinglePlyOther,2,2,area,m2,2,2
SinglePlyPVC,101,99,area,m2,82,80
SinglePlyPolyurethane,41,41,area,m2,27,27
SinglePlyTPO,63,62,area,m2,62,62
SprayedInsulation,21,18,area,m2,13,13
Steel,801,695,weight,kg,577,576
SteelSuspensionAssembly,165,152,weight,kg,114,114
StoneCladding,23,19,area,m2,19,19
StorageFurniture,186,29,weight,kg,17,17
StructuralSteel,115,110,weight,kg,105,105
SupplementaryCementitiousMaterials,30,29,weight,kg,28,28
Tables,445,178,weight,kg,161,161
ThermalMoistureProtection,4,4,area,m2,4,4
TileGrout,44,44,weight,kg,44,44
Timber,60,54,vol,m3,33,17
TranslucentWallAndRoofAssemblies,47,47,area,m2,47,47
UnitSkylights,18,17,area,m2,17,17
VinylSiding,22,13,area,m2,11,11
WallBase,20,14,length,in,14,14
WallFinishes,189,182,area,m2,180,173
WallPanels,178,173,area,m2,171,164
WeatherBarriers,62,60,area,m2,59,59
WindTurbines,18,8,vol,m3,4,3
Windows,597,391,area,m2,367,363
WireMeshSteel,60,58,weight,kg,55,55
WoodDoors,101,44,area,m2,36,32
WoodFlooring,136,119,area,m2,96,90
WoodFraming,12,10,vol,m3,10,9
WoodJoists,6,5,length,in,5,5
WorkSurfaces,64,21,area,m2,13,13
